hotspot_id,hotspot_name,police_station,latitude,longitude,pcis_score,drift_score,severity_norm,repeat_offender_density_norm,priority_score,priority_band,rank_city,rank_station
U-573c0e12,Unknown Hotspot U-0384,Malleshwaram,13.004758,77.5623875,56.45,0.0,11.7865,42.5974,31.3269,Medium,365,12
U-c7f60972,Unknown Hotspot U-0162,Rajajinagar,13.016078,77.5499618,41.25,0.0,56.6972,23.1079,31.3056,Medium,366,22
U-dc58605a,Unknown Hotspot U-0233,Sheshadripuram,12.9933323,77.5681619,59.72,0.0,28.9436,10.3896,31.2352,Medium,367,5
U-8c23819f,Unknown Hotspot U-0327,Bellandur,12.9042338,77.6759627,56.85,0.0,40.3923,2.7502,31.231,Medium,368,10
U-05df2130,Unknown Hotspot U-0324,Hennuru,13.068787,77.6260371,58.92,0.0,38.0447,0.0,31.1769,Medium,369,6
U-d2849aa3,Unknown Hotspot U-0393,Electronic City,12.8509305,77.6574505,51.62,0.0,38.4145,18.7013,31.1361,Medium,370,8
U-01c5460e,Unknown Hotspot U-0302,Mico Layout,12.9222759,77.6104548,57.72,0.0,38.6397,2.0779,31.1276,Medium,371,9
N-ecc54442,BTP225 - Geetha Junction,Jayanagara,12.9283381,77.5858736,45.04,0.0,64.4477,1.3552,31.1088,Medium,372,12
U-9862fe52,Unknown Hotspot U-0143,Adugodi,12.9421585,77.6223004,48.39,0.0,57.871,0.8202,31.0532,Medium,373,10
N-005068d9,BTP067 - Jai Muni Rao Circle,Magadi Road,12.9785525,77.5428695,44.29,0.0,63.6276,3.8961,31.0259,Medium,374,13
N-d9734b73,BTP006 - Navarang Bar Junction,Rajajinagar,12.9909781,77.5575959,53.04,0.0,31.5324,23.1079,30.9887,Medium,375,23
U-649c9841,Unknown Hotspot U-0071,K.R. Pura,13.0358498,77.735893,50.12,0.0,53.6903,1.2987,30.9809,Medium,376,8
N-1e9d5981,BTP219 - Canara Bank Junction,Jayanagara,12.9311672,77.584537,43.43,0.0,66.94,1.3552,30.9633,Medium,377,13
N-f54bc40a,BTP218 - Syndicate Bank Junction,Wilson Garden,12.9369154,77.5849353,51.85,0.0,49.4613,2.1251,30.951,Medium,378,9
U-20e31028,Unknown Hotspot U-0206,Sadashivanagar,13.0055817,77.5806627,55.51,0.0,41.5983,2.5974,30.9133,Medium,379,4
U-cef64524,Unknown Hotspot U-0300,Whitefield,12.9557216,77.7208288,60.04,0.0,33.4459,0.974,30.8513,Medium,380,9
U-9fdd6f33,Unknown Hotspot U-0118,Magadi Road,12.9666392,77.5478049,44.69,0.0,61.8588,3.8961,30.8322,Medium,381,14
N-ed3addfb,BTP136 - Hosur-Tavarkere Road Junction,Madiwala,12.9322893,77.6099702,59.34,0.0,32.6741,3.4632,30.7903,Medium,382,5
U-1e53ec47,Unknown Hotspot U-0102,Jalahalli,13.0572875,77.5469449,41.9,0.0,69.8183,0.0,30.7237,Medium,383,7
U-dc5c7902,Unknown Hotspot U-0023,Electronic City,12.8756809,77.6709639,47.85,0.0,43.8495,18.7013,30.7151,Medium,384,9
N-4a524d74,BTP109 - Dewan Madhava Rao Junction,Basavanagudi,12.9408643,77.5724347,44.96,0.0,62.0679,2.0779,30.7093,Medium,385,5
N-6422ffc6,"BTP177 - Aurobindo Circle, ORR",J.P. Nagar,12.9151324,77.5857838,53.25,0.0,47.0011,0.0,30.7002,Medium,386,4
N-6c314d45,BTP042 - Minsk Square Junction (CTO),Cubbon Park,12.9804056,77.5976275,47.29,0.0,50.9085,10.1299,30.6172,Medium,387,10
N-d3aa905e,BTP205 - Modi Hospital Junction,Rajajinagar,12.9976781,77.5475278,50.41,0.0,34.5554,23.1079,30.5413,Medium,388,24
U-a4a6a9d8,Unknown Hotspot U-0299,Whitefield,12.9381363,77.7467652,51.48,0.0,49.0111,0.974,30.5403,Medium,389,10
U-131ae17f,Unknown Hotspot U-0245,Whitefield,12.9855012,77.7457358,57.28,0.0,37.1442,0.974,30.487,Medium,390,11
U-8ba26983,Unknown Hotspot U-0274,Whitefield,12.956615,77.7453822,61.33,0.0,28.027,0.974,30.2835,Medium,391,12
U-f89dd032,Unknown Hotspot U-0312,Malleshwaram,13.0060212,77.5647689,52.61,0.0,14.2306,42.5974,30.2797,Medium,392,13
U-d0a9584e,Unknown Hotspot U-0314,Rajajinagar,13.0131295,77.5347332,52.67,0.0,28.6059,23.1079,30.2554,Medium,393,25
N-a0e1705c,BTP105 - Shivasankara Circle,V.V.Puram (C.Pet),12.9569026,77.5741661,46.31,0.0,53.4009,6.8182,30.2269,Medium,394,5
N-2564782b,BTP158 - Devegowda Petrol Bunk,Banashankari,12.9212451,77.5602959,58.66,0.0,32.5293,1.1988,30.1497,Medium,395,4
U-53d74bb5,Unknown Hotspot U-0158,Pulikeshinagar(F.Town),12.9993034,77.62484,45.47,0.0,59.7363,0.0,30.1353,Medium,396,6
U-fd5121dc,Unknown Hotspot U-0203,Adugodi,12.9372154,77.6270648,41.07,0.0,67.7922,0.8202,30.1095,Medium,397,11
N-4328d32c,BTP126 - Dairy Circle,Adugodi,12.9373281,77.6035814,55.35,0.0,39.0577,0.8202,30.0746,Medium,398,12
N-ef0ddf84,"BTP117 - 9th Cross, Kanakapura Road",K.S. Layout,12.9135321,77.5729558,51.98,0.0,45.4253,1.2987,30.0719,Medium,399,4
U-e8b2a3ad,Unknown Hotspot U-0250,Mahadevapura,12.9875019,77.7092594,61.74,0.0,24.0392,3.4632,30.0233,Medium,400,10
U-f1caeaad,Unknown Hotspot U-0103,Vijayanagara,12.9668709,77.5433996,45.2,0.0,45.0876,19.295,29.9918,Medium,401,17
U-75e7d8d4,Unknown Hotspot U-0072,High ground,12.9894685,77.5928792,36.57,0.0,51.6482,33.3952,29.9669,Medium,402,10
U-887ec7e9,Unknown Hotspot U-0120,R.T. Nagar,13.0205572,77.5841275,63.57,0.0,20.9841,1.4168,29.8373,Medium,403,5
U-619f77e4,Unknown Hotspot U-0221,Banaswadi,13.0126934,77.6262158,45.63,0.0,51.3909,7.7922,29.699,Medium,404,5
N-f6ca4bdc,BTP085 - Briyand Circle,V.V.Puram (C.Pet),12.9640597,77.5709812,59.18,0.0,24.5377,6.8182,29.6023,Medium,405,6
U-fe25d864,Unknown Hotspot U-0246,Pulikeshinagar(F.Town),13.0004497,77.6153503,47.67,0.0,52.5326,0.0,29.5745,Medium,406,7
N-78ba8dfe,"BTP221 - 15th Cross, 24th Main, JP Nagar",J.P. Nagar,12.9050226,77.5861887,48.87,0.0,50.0241,0.0,29.5528,Medium,407,5
U-43599fea,Unknown Hotspot U-0116,K.R. Pura,13.026376,77.7205876,49.61,0.0,47.5318,1.2987,29.5452,Medium,408,9
